article_url,author,claps,collection,published_date,read_time,responses,scraped_date,subtitle_preview,title
https://medium.com/iearn/earning-yfi-y-curve-fi-53b5fd347f0f,Andre Cronje,209,Yearn,2020-07-17 00:00:00,2,1,2021-09-21 18:02:55.099965,"The first distribution pool is live, UI to follow in the next few days.",Earning YFI y.curve.fi
https://medium.com/iearn/yswap-exchange-99bf906311db,Andre Cronje,582,Yearn,2020-07-16 00:00:00,2,3,2021-09-21 18:02:55.109332,,yswap.exchange
https://medium.com/iearn/yfi-rewards-pool-810ef9256ec6,Andre Cronje,403,Yearn,2020-07-17 00:00:00,1,,2021-09-21 18:02:55.116963,,YFI rewards pool
https://medium.com/iearn/yearn-governance-forum-7b7c9d0300ac,Cooper Turley,326,Yearn,2020-07-19 00:00:00,4,,2021-09-21 18:02:55.126282,Participate in yEarn governance at gov.yearn.finance,yEarn Governance Forum
https://medium.com/iearn/yield-stable-coins-103-717b097213f1,Andre Cronje,328,Yearn,2020-07-15 00:00:00,3,,2021-09-21 18:02:55.133362,,Yield Stable Coins #103
https://medium.com/iearn/yield-aware-amms-102-114e1ea37608,Andre Cronje,460,Yearn,2020-07-15 00:00:00,3,,2021-09-21 18:02:55.143092,,Yield Aware AMMs #102
https://medium.com/iearn/things-i-wish-i-knew-before-building-ethereum-defi-dapps-cd6bf0f07a16,Andre Cronje,1300,Yearn,2020-02-04 00:00:00,6,7,2021-09-21 18:02:56.596971,,Things I wish I knew before building Ethereum #DeFi dapps
https://medium.com/iearn/stablecoin-yield-arbitrage-for-fun-and-profit-7f16b351e684,Andre Cronje,392,Yearn,2020-02-15 00:00:00,2,,2021-09-21 18:02:56.612362,,Stablecoin yield arbitrage for fun and profit
https://medium.com/iearn/meta-stablecoins-available-today-bd9b5a77e49,Andre Cronje,686,Yearn,2020-02-13 00:00:00,2,2,2021-09-21 18:02:56.630275,,Meta Stablecoins available today
https://medium.com/iearn/the-yield-liquidity-pool-problem-90f395f8ddaa,Andre Cronje,189,Yearn,2020-02-22 00:00:00,4,,2021-09-21 18:02:56.651109,,The yield liquidity pool problem
https://medium.com/iearn/yield-aggregator-problem-s-2-3-4-and-5-too-large-to-move-9a75432a50de,Andre Cronje,235,Yearn,2020-02-23 00:00:00,3,,2021-09-21 18:02:56.663126,,"Yield aggregator problem(s) #2 (3, 4, and 5) too large to move."
https://medium.com/iearn/iearn-finance-from-yields-to-curves-weekly-update-817b54ef21b1,Andre Cronje,169,Yearn,2020-02-16 00:00:00,2,,2021-09-21 18:02:56.673153,, from yields to curves ~ weekly update
https://medium.com/iearn/iearn-finance-milestones-and-roadmap-27fe63830951,Andre Cronje,193,Yearn,2020-02-07 00:00:00,2,,2021-09-21 18:02:56.690436,, milestones and roadmap
https://medium.com/iearn/iearn-finance-from-curves-to-cover-weekly-update-e7a91840d952,Andre Cronje,78,Yearn,2020-02-21 00:00:00,2,,2021-09-21 18:02:56.703546,,iearn.finance from curves to cover ~ weekly update
https://medium.com/iearn/how-we-built-on-chain-apr-for-ethereum-defi-a8d84b680758,Andre Cronje,328,Yearn,2020-01-25 00:00:00,5,2,2021-09-21 18:02:57.340520,,How we built on-chain APR for Ethereum DeFi
